457,"COOP",82220,"FL","HAMILTON","DE FUNIAK SPRINGS",30.72,-86.08,74.68
459,"COOP",89214,"FL","OSCEOLA","VERO BEACH MUNICIPAL ARPT",27.65,-80.23,8.53
461,"COOP",85879,"FL","COLUMBIA","MONTICELLO 3 W",30.48,-83.78,29.87
463,"COOP",85539,"FL","SUWANNEE","MAYO",30.1,-83.17,19.81
465,"COOP",81641,"FL","MADISON","CLERMONT 7 S",28.45,-81.72,39.62
467,"COOP",83186,"FL","LAFAYETTE","FORT MYERS PAGE FIELD",26.58,-81.85,4.57
469,"COOP",88758,"FL","BREVARD","TALLAHASSEE REGIONAL AP",30.38,-84.35,16.76
471,"COOP",89120,"FL","JEFFERSON","USHER TOWER",29.4,-82.82,10.06
473,"COOP",85275,"FL","GLADES","MADISON",30.45,-83.4,36.58
475,"COOP",86880,"FL","SARASOTA","PARRISH",27.6,-82.33,18.29
477,"COOP",86414,"FL","COLLIER","OCALA",29.15,-82.07,22.86
479,"COOP",88620,"FL","MARION","STUART 1 S",27.2,-80.15,3.05
481,"COOP",82850,"FL","OKEECHOBEE","EVERGLADES",25.83,-81.38,1.52
483,"COOP",82944,"FL","ORANGE","FERNANDINA BEACH",30.65,-81.45,3.96
485,"COOP",81986,"FL","MANATEE","CRESTVIEW BOB SIKES AP",30.77,-86.52,57.91
487,"COOP",86485,"FL","ESCAMBIA","OKEECHOBEE",27.15,-80.85,5.49
489,"COOP",86628,"FL","TAYLOR","ORLANDO INTL ARPT",28.43,-81.32,27.43
491,"COOP",84625,"FL","HILLSBOROUGH","KISSIMMEE 2",28.27,-81.42,18.29
493,"COOP",81276,"FL","CHARLOTTE","CANAL POINT USDA",26.85,-80.62,9.14
495,"COOP",87851,"FL","GADSDEN","SAINT LEO",28.33,-82.25,57.91
497,"COOP",88824,"FL","PASCO","TARPON SPRINGS SWG PLNT",28.15,-82.75,2.44
499,"COOP",80478,"FL","SEMINOLE","BARTOW",27.88,-81.83,38.1
501,"COOP",83207,"FL","MARTIN","FORT PIERCE",27.45,-80.35,7.62
503,"COOP",86065,"FL","LEON|WAKULLA","MYAKKA RIVER STATE PARK",27.23,-82.3,6.1
505,"COOP",87982,"FL","PINELLAS","SANFORD EXPERIMENT STN",25.75,-80.82,3.66
507,"COOP",81163,"FL","LEVY","BUSHNELL 2 E",28.65,-82.08,22.86
509,"COOP",85099,"FL","INDIAN RIVER","LIVE OAK",30.28,-82.95,36.58
511,"COOP",87025,"FL","HARDEE","PERRY",30.08,-83.57,13.72
513,"COOP",82229,"FL","CALHOUN|GULF|LIBERTY","DELAND 1 SSE",29.02,-81.3,7.62
515,"COOP",90211,"GA","DOUGHERTY|LEE|WORTH","Alma CAA Airport",31.53,-82.5,58.83
517,"COOP",92783,"GA","APPLING|BACON|JEFF DAVIS","Douglas",31.48,-82.82,71.02
519,"COOP",91500,"GA","TURNER","Camilla 3 SE",31.18,-84.2,53.34
521,"COOP",95874,"GA","CLARKE|MCINTOSH|OCONEE|OGLETHORPE","Milledgeville",33.07,-83.23,112.17
523,"COOP",92180,"GA","BUTTS|CLAYTON|DE KALB|FULTON|HENRY|LAMAR|PIKE|SPALDING","Commerce 4 NNW",34.25,-83.48,228.6
525,"COOP",92318,"GA","COLUMBIA|RICHMOND","Covington",33.58,-83.83,234.39
527,"COOP",91665,"GA","FANNIN|TOWNS|UNION","Cartersville",34.2,-84.78,240.49
529,"COOP",98703,"GA","BULLOCH|CANDLER|EFFINGHAM|EVANS|SCREVEN","Tifton Exp Stn",31.43,-83.47,115.82
531,"COOP",95443,"GA","CAMDEN|GLYNN|MARION","Macon WSO Airport",32.68,-83.65,104.55
533,"COOP",94170,"GA","BAKER|MITCHELL","Hawkinsville",33.28,-83.47,74.68
535,"COOP",93465,"GA","CARROLL|DOUGLAS|HARALSON","Folkston 9 SW",30.73,-82.12,36.58
537,"COOP",97276,"GA","BARTOW|GORDON","Quitman 2 NW",30.78,-83.57,56.39
539,"COOP",97847,"GA","POLK","Savannah WSO Airport",32.02,-81.13,11.58
541,"COOP",91266,"GA","RABUN","Brooklet 1 W",32.37,-81.67,54.86
543,"COOP",95863,"GA","DECATUR|EARLY|MILLER|SEMINOLE","Midville Experiment Stn",32.87,-82.2,85.34
545,"COOP",90451,"GA","CHATHAM|HARRIS|MACON|MUSCOGEE","Atlanta WSO Airport",33.62,-84.43,307.85
547,"COOP",92450,"GA","BANKS|JACKSON","Cuthbert",31.77,-84.78,140.51
549,"COOP",91340,"GA","CRISP|DOOLY|MCDUFFIE|WILCOX","Brunswick",31.17,-81.5,3.96
551,"COOP",91640,"GA","HABERSHAM|WHITE","Carrollton",33.58,-85.07,303.28
553,"COOP",94941,"GA","BARROW|GWINNETT|MORGAN|NEWTON|ROCKDALE|WALTON","Lafayette 4 SSW",34.65,-85.32,273.71
555,"COOP",92166,"GA","CALHOUN|CLAY|QUITMAN|RANDOLPH|TERRELL","Columbus WSO Airport",32.5,-84.93,119.48
557,"COOP",97600,"GA","COBB|PAULDING","Rome",34.23,-85.15,200.86
559,"COOP",94648,"GA","ATKINSON|COFFEE","Jasper 1 NNW",34.47,-84.43,446.53
561,"COOP",90435,"GA","JOHNSON|LAURENS|MONTGOMERY|TREUTLEN","Athens WSO Airport",33.93,-83.32,239.27
563,"COOP",94429,"GA","DODGE|WHEELER","Homerville 3 WSW",31.07,-82.8,57
565,"COOP",92485,"GA","ELBERT","Dallas 7 NE",33.98,-84.73,335.28
567,"COOP",96087,"GA","BRANTLEY|CHARLTON|WARE","Moultrie 2 ESE",31.17,-83.73,103.63
569,"COOP",90495,"GA","MONROE","Augusta WSO Airport",33.35,-81.95,40.23
571,"COOP",96335,"GA","LIBERTY","Newnan 4 NE",33.45,-84.82,272.49
573,"COOP",92266,"GA","DAWSON|FORSYTH|HALL|LUMPKIN","Cordele",31.98,-83.77,93.88
575,"COOP",93621,"GA","LONG|TATTNALL|TOOMBS","Gainesville",34.3,-83.85,356.62
577,"COOP",92153,"GA","FRANKLIN|HART","Colquitt 2 W",31.17,-84.75,46.63
579,"COOP",92966,"GA","BLECKLEY|HOUSTON|PULASKI","Eastman 1 W",32.2,-83.2,121.92
581,"COOP",90140,"GA","CLINCH|ECHOLS|LANIER","Albany 3 SE",31.53,-84.13,54.86
583,"COOP",93060,"GA","CHEROKEE|GILMER|PICKENS","Elberton 2 N",34.13,-82.85,164.59
585,"COOP",90969,"GA","CATOOSA|DADE|MURRAY|WALKER|WHITFIELD","Blairsville Exp Sta",34.85,-83.93,594.05
